CT,ID
23.024,20_1_1
23.174,20_1_2
23.129,20_1_2
19.479,20_1_3
19.564,20_1_3
21.617,200_1_1
22.136,200_1_1
19.846,200_1_2
19.802,200_1_2
24.582,200_1_3
24.828,200_1_3
21.827,201_1_1
21.924,201_1_1
21.822,201_1_2
21.388,201_1_2
25.201,201_1_3
24.393,201_1_3
23.924,202_2_1
24.12,202_2_1
24.871,202_2_2
24.425,202_2_2
23.801,202_2_3
24.165,202_2_3
22.907,203_2_1
22.755,203_2_1
23.347,203_2_2
23.352,203_2_2
23.966,203_2_3
24.667,203_2_3
19.611,204_2_1
20.556,204_2_1
23.559,204_2_2
23.514,204_2_2
23.364,204_2_3
23.086,204_2_3
20.519,205_2_1
20.439,205_2_1
24.48,205_2_2
24.759,205_2_2
22.144,205_2_3
22.372,205_2_3
24.698,206_2_1
23.889,206_2_1
23.784,206_2_2
23.619,206_2_2
20.179,206_2_3
20.293,206_2_3
24.933,207_2_1
24.91,207_2_1
23.781,207_2_2
24.314,207_2_2
23.599,207_2_3
23.927,207_2_3
22.99,208_2_1
22.697,208_2_1
20.793,208_2_2
20.742,208_2_2
22.786,208_2_3
22.801,208_2_3
24.084,209_2_1
24.467,209_2_1
20.258,209_2_2
19.998,209_2_2
24.493,209_2_3
24.297,209_2_3
24.703,21_1_1
24.979,21_1_1
25.053,21_1_2
25.128,21_1_2
25.013,21_1_3
24.924,21_1_3
21.974,210_2_1
22.638,210_2_1
23.743,210_2_2
23.384,210_2_2
24.779,210_2_3
25.025,210_2_3
23.698,211_2_1
23.683,211_2_1
21.216,211_2_2
21.046,211_2_2
23.25,211_2_3
23.3,211_2_3
25.394,212_2_1
25.24,212_2_1
25.518,212_2_2
25.098,212_2_2
25.012,212_2_3
25.226,212_2_3
24.128,213_2_1
24.199,213_2_1
23.736,213_2_2
23.561,213_2_2
24.221,213_2_3
24.782,213_2_3
24.665,214_2_1
24.333,214_2_1
22.728,214_2_2
22.659,214_2_2
17.566,214_2_3
17.231,214_2_3
24.202,215_2_1
24.364,215_2_1
22.526,215_2_2
22.485,215_2_2
22.836,215_2_3
23.14,215_2_3
23.418,216_2_1
23.695,216_2_1
24.721,216_2_2
24.703,216_2_2
22.326,216_2_3
22.98,216_2_3
24.573,217_2_1
24.063,217_2_1
21.931,217_2_2
21.727,217_2_2
25.185,217_2_3
24.927,217_2_3
23.916,218_2_1
24.074,218_2_1
21.4,218_2_2
21.373,218_2_2
26.436,218_2_3
26.276,218_2_3
22.742,219_2_1
23.124,219_2_1
19.848,219_2_2
19.802,219_2_2
24.786,219_2_3
24.868,219_2_3
22.285,22_1_1
22.642,22_1_1
24.253,22_1_2
24.103,22_1_2
18.274,22_1_3
18.374,22_1_3
24.452,220_2_1
24.42,220_2_1
24.439,220_2_2
24.486,220_2_2
21.736,220_2_3
21.312,220_2_3
24.544,221_2_1
24.664,221_2_1
22.632,221_2_2
23.08,221_2_2
24.65,221_2_3
24.642,221_2_3
22.483,222_2_1
22.259,222_2_1
24.735,222_2_2
24.913,222_2_2
25.136,222_2_3
25.141,222_2_3
21.586,223_2_1
22.303,223_2_1
25.494,223_2_2
25.682,223_2_2
22.498,223_2_3
22.489,223_2_3
23.371,224_2_1
23.092,224_2_1
24.327,224_2_2
24.395,224_2_2
23.893,224_2_3
24.16,224_2_3
24.9,225_2_1
24.867,225_2_1
23.2,225_2_2
24.071,225_2_2
25.192,225_2_3
24.554,225_2_3
24.635,226_2_1
24.366,226_2_1
24.645,226_2_2
24.721,226_2_2
25.368,226_2_3
25.467,226_2_3
23.598,227_2_1
23.34,227_2_1
20.147,227_2_2
19.789,227_2_2
25.116,227_2_3
25.321,227_2_3
21.654,228_2_1
21.526,228_2_1
25.903,228_2_2
25.476,228_2_2
19.212,228_2_3
19.23,228_2_3
22.65,229_2_1
22.94,229_2_1
20.938,229_2_2
22.082,229_2_2
22.849,229_2_3
22.358,229_2_3
25.097,23_1_1
25.333,23_1_1
26.86,23_1_2
26.972,23_1_2
23.275,23_1_3
23.629,23_1_3
23.207,230_2_1
22.946,230_2_1
15.078,230_2_2
14.834,230_2_2
24.851,230_2_3
24.849,230_2_3
18.34,231_2_1
18,231_2_1
19.72,231_2_2
20.209,231_2_2
25.57,231_2_3
24.755,231_2_3
23.533,232_2_1
23.165,232_2_1
23.968,232_2_2
24.205,232_2_2
24.685,232_2_3
24.177,232_2_3
18.051,233_2_1
17.462,233_2_1
20.759,233_2_2
20.631,233_2_2
24.487,233_2_3
24.515,233_2_3
24.428,234_2_1
24.453,234_2_1
20.854,234_2_2
20.56,234_2_2
20.675,234_2_3
20.621,234_2_3
24.442,235_2_1
23.528,235_2_1
23.581,235_2_2
23.38,235_2_2
23.399,235_2_3
23.533,235_2_3
23.622,236_2_1
23.103,236_2_1
23.169,236_2_2
